Full Name,IATA Prefix Code,Remarks / Notes,ICAO Code,ICAO Callsign,Country,IATA Code,IATA Accounting Code
ATA Airlines,,Established in 2009.,TBZ,Atalar Air,Iran,I3,917
Air Asia (India) Ltd.,,Founded on 28 March 2013. Commenced operations in 12 June 2014.Name changed from Air Asia (India) Private Limited. ICAO callsign changed from Ariya.,IAD,Red Knight,India,I5,
Air Indus (Pvt) Ltd,,,MPK,,Pakistan,I6,315
Inter Iles Air,,,IIA,Inter Iles,Comoros,I7,
Izhavia Public Stock Company,,,IZA,Izhavia,Russian Federation,I8,025
Iraqi Airways,073,Founded in 1945,IAW,Iraqi,Iraq,IA,073
Iberia - Lineas Aereas de Espana,075,,IBE,Iberia,Spain,IB,075
PT. Batik Air Indonesia,,Founded in 2013 Commenced operations 03/05/013.,BTK,Batik,Indonesia,ID,
Solomon Airlines,193,,SOL,Solomon,Solomon Islands,IE,193
Fly Baghdad,,,FBA,Iraq Express,Iraq,IF,
"Gulf  Caribbean Cargo, Inc d/b/a Gulf  Caribbean Air",611,Designator 8G* recalled by IATA,,,United States of America,IF,
Air Italy S.p.A.,191,Name changed from Meridiana Fly S.p.A. t/a Meridiana w.e.f. from 01 Amrch 2018.ICAO designator changed to ISS. Name changed to Meridiana Fly S.p.A. t/a Meridiana. ICAO callsing changed from Merair.Merged with Eurofly S.p.A.,ISS,Air Italy,Italy,IG,191
Southern Sky Airlines,,Subsidary of SCAT Airlines.,SRS,Sky South,Kazakhstan,IH,824
"IBC Airways, Inc.",175,"formerly IBC Aviation Services Inc., d/b/a Western Air Freight",CSQ,Chasqui,United States of America,II,
Spring Airlines Japan Co. Ltd.,,,SJO,Jey Spring,Japan,IJ,
Air Kiribati Limited,,Founded on 01 April 1995.,AKL,Air Kiribati,Kiribati,IK,
Trigana Air Service P.T.,,,TGN,Trigana,Indonesia,IL,
Michelin Air Services,,,BIB,,France,IM,
Jupiter Jet Airlines LLP,707,Name changed from JSC Aircompany ATMA.Founded on 26 September 1996.,AMA,Adik,Kazakhstan,IM,
PT. Nam Air,,Subsidiary of Sriwijaya Air,,,Indonesia,IN,274
Closed Joint Stock Company IrAero,,,IAE,IrAero,Russian Federation,IO,154
One Airlines S.p.A.,,,ONS,Air Dreams,Chile,IP,
Qazaq Air Joint Stock Company,,,QAZ,Samruk,Kazakhstan,IQ,
Iran Air - The Airline of Islamic Republic of Iran,096,Name changed from Iran National Airlines Corp. (Iran Air),IRA,Iranair,Iran,IR,096
Sepehran Airlines,,,SHI,Shirazi,Iran,IS,714
Tiger Airways Taiwan Co. Ltd.,608,,TTW,Smart Cat,Taiwan,IT,608
SW Italia S.p.A.,,Subsidary of Silk Way West Airlines.,CSW,Silkitalia,Italy,IU,
"Wings Abadi Airlines, PT.",,Commenced  operations on 10 July 2003. Wholly owned subsidiary of Lion Air,WON,Wings Abadi,Indonesia,IW,523
Yemenia - Yemen Airways,635,,IYE,Yemeni,Yemen,IY,635
Arkia Israeli Airlines Ltd.,238,Name changed from Arkia Israel Inland Airlines,AIZ,Arkia,Israel,IZ,238
Azerbaijan Hava Yollary,771,,AHY,Azal,Azerbaijan,J2,771
Northwestern Air Lease Ltd.,,IATA Desigantor changed form CT,PLR,Polaris,Canada,J3,325
Badr Airlines,,,BDR,Badr Air,Sudan,J4,
Jet Time A/S,,,JTG,Jettime,Denmark,J4,
"Kalinin Aviation, L.L.C. d/b/a Alaska Seaplanes",,"Name changed from Alaska Seaplane Service, L.L.C.IATA Designator changed from UI*",,,United States of America,J5,
Jet Ops,,,OPS,Ops-Jet,United Arab Emirates,J6,
Afrijet Business Services (ABS),,,ABS,,Gabon,J7,
Berjaya Air Sdn. Bhd.,,,BVT,Berjaya,Malaysia,J8,801
Jazeera Airways,,Designator J9* reinstated by IATA,JZR,Jazeera,Kuwait,J9,
JetSMART SpA,,,JAT,Rocksmart,Chile,JA,
"Helijet International, Inc.",613,Name changed from Helijet Airways.,JBA,Helijet,Canada,JB,613
Japan Air Commuter Co. Ltd.,,IATA designator changed from 3X.,JAC,Commuter,Japan,JC,
"Beijing Capital Airlines Co., Ltd",898,,CBJ,Capital Jet,China,JD,898
Mango Airlines (SOC) Ltd. t/a Mango,,Name changed from Mango (Pty) Ltd. And previously Tulca (Pty) Ltd. t/a Mango.Designator JE reinstated by IATA.,MNO,Tulca,South Africa,JE,
Jettainer GmbH,,Non-airline Unit Load Devices (ULD) companies,,,Germany,JE,
Jet Asia Airways Company Limited dba Jet Asia,884,,JAA,Jet Asia,Thailand,JF,884
"Airline Container Leasing, Inc.",,Non-airline Unit Load Devices (ULD) companies,,,United States of America,JG,
Fuji Dream Airlines Co. Ltd.,,,FDA,,Japan,JH,
Meraj Airlines,648,,MRJ,Meraj Airlines,Iran,JI,648
TAM Linhas Aereas S.A. d/b/a LATAM Airlines Brasil,957,Name changed from TAM Linhas Aereas S.A.Name change from TAM - Transportes Aereos Meridionais S.A.,TAM,TAM,Brazil,JJ,957
"Aercaribe Aerolina del Caribe, S.A.",543,Founded in 1997,ACL,Admire,Colombia,JK,
Japan Airlines International Co. Ltd.,131,Name changed from Japan Airlines Company Ltd w.e.f. 31/03/204,JAL,Japanair,Japan,JL,131
Jambojet Limited,,Low-cost subsidiary of Kenya Airways. Founded on 13 September 2013. Commenced operations on 01 April 2014.,JMA,Chui,Kenya,JM,702
JOON,,Founded on 20 July 2017. Subsidary of Air France.Commenced operatioons on 01 December 2017.,JON,Joon,France,JN,
Royal Wings,,Founded 01 January 1996. IATA Desginator changed from RY*. ICAO designator changed to RYWICAO designator changed from RWA,RYW,Royal Wings,Jordan,JO,561
Adria Airways - The Airline of Slovenia,165,Name changed form Inex-Adria,ADR,Adria,Slovenia,JP,165
Jetstar Airways Pty Limited,,Name changed from Jetstar Airways Pty Limited d/b/a Impulse Airlines.Low costs subsidary of Qantas,JST,Jetstar,Australia,JQ,041
"Joy Air Co., Ltd.",929,,JOY,Joy Air,China,JR,929
Air Koryo,120,Name changed from Chosonmihang CAA of DPR of Korea,KOR,Air Koryo,"Korea, Democratic People's Republic of",JS,120
"Lion Mentari Airlines, PT.",,,LNI,Lion Inter,Indonesia,JT,990
JSC for Air Traffic-Air SERBIA Belgrade t/a Air Serbia a.d. Beograd,115,Name changed from Jat Airways. ICAO Designator changed from JAT.Name changed from Jugoslovenski Aerotransport (JAT),ASL,Air Serbia,Serbia,JU,115
Perimeter Aviation LP d/b/a Bearskin Airlines,632,Name changed from Bearskin Lake Air Service Limited,BLS,Bearskin,Canada,JV,632
"Vanilla Air, Inc.",842,IATA Designator changed from JW*Commenced operations on 20 December 2013. Founded August 2011 as AirAsia Japan.,VNL,,Japan,JW,
DAC Aviation (EC) Ltd.,,IATA Designator changed from J5,,,Kenya,JX,
InterCaribbean Airways,,Name changed from Air Turks and Caicos (2003) LtdName changed from Interisland Airways Limited,IWY,Islandways,Turks And Caicos Islands,JY,653
Jubba Airways (K) Limited,,Designator 6J recalled by IATA,JBW,Airjub,Kenya,JZ,
Topas Co. Ltd.,,,,,"Korea, Republic of",K1,109
"Paklook Air, Inc. d/b/a Airlift Alaska",,,,,United States of America,K2,
SAC (K) Limited,,Name changed from Safe Air Company Limited.,SAQ,Sinbad,Kenya,K3,
"Venture Travel, LLC. t/a Taquan Air",,Designator K3* reinstated by IATAIATA designator changed from H7,TQN,Taquan,United States of America,K3,
Kalitta Air LLC,,"IATA designator changed from CB*Name changed from Kitty Hawk International, Inc. d/b/a American International Airways",CKS,Connie,United States of America,K4,
ALS Ltd.,,,,,Kenya,K4,
Silverstone Air Services Ltd,,,SLR,Silverstone,Kenya,K5,
Cambodia Angkor Air Ltd.,188,,KHV,Cambodia Air,Cambodia,K6,188
Air KBZ Limited,,,KBZ,Jade Air,Myanmar,K7,
Kannithi Aviation Company Limited d/b/a Kan Air,,,KND,Kannithi Air,Thailand,K8,
"InterJet West, Inc.",,,IJW,Jet West,United States of America,K8,
Kalitta Charters LLC,,,KFS,Kalitta,United States of America,K9,
Hong Kong Dragon Airlines Limited t/a Cathay Dragon,043,ICAO callsign changed from Dragonair . Name changed from Hong Kong Dragon Airlines Limited t/a Dragonair.,HDA,Dragon,Hong Kong,KA,043
Druk Air Corporation Ltd.,787,,DRK,Royal Bhutan,Bhutan,KB,787
Air Astana,465,IATA designator changed from 4L w.e.f. 29/10/06. ICAO designator changed from ASTIATA Designator changed from LQ,KZR,Astanaline,Kazakhstan,KC,465
Western Global Airlines LLC,,"Received Part 121 AOC on 04 August 2014.Affiliated to Finnish carrier, Nordic Globa Air.",WGN,Western Global,United States of America,KD,
Korean Air Lines Co. Ltd.,180,,KAL,Koreanair,"Korea, Republic of",KE,180
Air Belgium SA,,,ABB,Air Belgium,Belgium,KF,142
Key Lime Air Corporation,,IATA designator chanegd from KG*.,LYM,Key Lime,United States of America,KG,
"Aeko Kula, Inc d/b/a Aloha Air Cargo",687,,AAH,Aloha,United States of America,KH,
"Air Incheon Co., Ltd.",,,AIH,Air Incheon,"Korea, Republic of",KJ,
AtlasGlobal Airlines,,Name changed from Atlasjet Airlines Inc.Name changed from Atlas International Airlines - Atlas International Havacilik A/S. ICAO designator changed from OGE . IATA designator changed from 2U,KKK,Atlasjet,Turkey,KK,610
KLM Royal Dutch Airlines (Koninklijke Luchtvaart Maatschappij N.V.),074,,KLM,KLM,Netherlands,KL,074
Air Malta p.l.c.,643,Name changed to Air Malta Co. Ltd. ICAO callsign changed to Kilo Mike,AMC,Air Malta,Malta,KM,643
China United Airlines,,Designator KN reinstated by IATA,CUA,Lianhang,China,KN,822
"Nantay Pty Ltd., d/b/a Maroomba Airlines",,,,,Australia,KN,
Komiaviatrans Open Joint Stock Company,,Name changed from Komiaviatrans State Air Enterprise,KMA,Komi Avia,Russian Federation,KO,
"Alaska Central Express, Inc.",,,AER,Ace Air,United States of America,KO,341
ASKY,032,,SKK,Asky Airline,Togo,KP,032
PT. Asialink Cargo Express,385,,,,Indonesia,KP,
Kenya Airways,706,,KQA,Kenya,Kenya,KQ,706
"Cambodia Airways Co., Ltd.",,Commence operations on 10 July 2018.,KME,Giant Ibis,Cambodia,KR,733
"Peninsula Airways, Inc. t/a PenAir",339,,NLA,Peninsula,United States of America,KS,339
Mahogany Air,,,,,Zambia,KT,
Katmai Air LLC,,,,,United States of America,KT,
Kuwait Airways,229,ICAO designator changed from Kilo Uniform.,KAC,Kuwaiti,Kuwait,KU,229
"Sky Regional Airlines, Inc.",,IATA Designator changed from RS*.,SKV,Sky Regional,Canada,KV,
"Korea Express Air Co., Ltd.",,IATA designator changed from XE*.,KEA,Korea Express,"Korea, Republic of",KW,
Cayman Airways Limited,378,,CAY,Cayman,Cayman Islands,KX,378
Kunming Airlines,833,,KNA,Kunming Air,China,KY,833
Nippon Cargo Airlines,933,IATA designator changed from MC,NCA,Nippon Cargo,Japan,KZ,
"Lynden Air Cargo, LLC",344,,LYC,Lynden,United States of America,L2,
"DHL de Guatemala, S.A.",947,IATA designator changed from Z8,JOS,,Guatemala,L3,
Grupo LASA S.r.l. d/b/a LASA Líneas Aéreas,,,,,Argentina,L4,371
"Legacy Air Co., Ltd.",,Founded in 2009,LGC,Legacy Air,Thailand,L4,
Mauritania Airlines,495,Founded December 2010. Name changed from Mauritanian Airlines International.,MAI,,Mauritania,L6,495
Lineas Aereas Carguera de Colombia S.A. d/b/a LATAM Cargo Colombia,985,Name changed from Lineas Aereas Carguera de Colombia S.A.,LAE,Lanco,Colombia,L7,
Afric Aviation,,,EKG,,Gabon,L8,348
Lynden Air Cargo PNG Ltd.,,,LYB,Highlands,Papua New Guinea,L8,
"Bristow US, LLC",,,BTZ,Bristow Group,United States of America,L9,
LATAM Airlines Group S.A. d/b/a LAN Airlines,045,"Name changed from LAN Airlines, S.A.Name changed from Linea Aerea Nacional-Chile S.A. Lan-Chile",LAN,LAN,Chile,LA,045
Bul Air Ltd,,,BVL,Bulgary,Bulgaria,LB,
Grupo Corporativo Skyway. S.A.,,,,,Costa Rica,LC,
AHK Air Hong Kong Limited,288,,AHK,Air Hong Kong,Hong Kong,LD,
Norwegian Air Sweden AB,348,,NSW,Nordic,Sweden,LE,348
Corporate Flight Management d/b/a Contour Airlines,,Name changed from Corporate Flight Management.,VTE,Volunteer,United States of America,LF,522
Luxair,149,,LGL,Luxair,Luxembourg,LG,149
Deutsche Lufthansa AG,220,,DLH,Lufthansa,Germany,LH,220
Lufthansa Cargo AG,020,Designator YY recalled by IATA,GEC,Lufthansa Cargo,Germany,LH,
LIAT (1974) Ltd.,140,,LIA,LIAT,Antigua and Barbuda,LI,140
Jin Air Co. Ltd.,,Formerly Air Korea,JNA,Jin Air,"Korea, Republic of",LJ,718
Lao Skyway,,Name change from Lao Air Company.,LLL,Lavie,Lao People's Democratic Republic,LK,
"Miami Air International, Inc.",,IATA designator changed from GL,BSK,Biscayne,United States of America,LL,
Loganair Limited,682,Previously used IATA code LC,LOG,Logan,United Kingdom,LM,682
Libyan Airlines,,Name changed from Jamahirya Libyan Arab Airlines,LAA,Libair,Libyan Arab Jamahiriya,LN,148
LOT - Polish Airlines,080,,LOT,Pollot,Poland,LO,080
"Lan Peru, S.A. d/b/a LATAM Airlines Peru",544,"Name changed from Lan Peru, S.A. w.e.f. 05 May 2016. Changed from Air Patagonia - Linea Aerea Del Sur S.A.ICAO changed from PTG",LPE,Lanperu,Peru,LP,544
"Lanmei Airlines (Cambodia) Co., Ltd.",961,AOC granted and due to commence operations on 09 October 2017.,MKR,Air Lanme,Cambodia,LQ,961
Avianca Costa Rica S.A.,133,Name changed from Lineas Aereas Costarricenses S.A. (LACSA),LRC,LACSA,Costa Rica,LR,133
Jet2.com Limited,839,Name changed from Channel Express Air Services Ltd w.e.f. 01 March 2006.,EXS,Channex,United Kingdom,LS,839
"LongJiang Airlines Co., Ltd.",867,,SNG,Snow Eagle,China,LT,867
Transporte Aereo S.A. d/b/a LATAM Airlines Chile,972,Name changed from Transporte Aereo S.A. (LAN Express)ICAO callasign changed from Lanexpress,LXP,Lanex,Chile,LU,972
Openskies,,IATA code changed from EC,BOS,Mistral,France,LV,
Swiss International Airlines Ltd. d/b/a Swiss,724,ICAO designator changed from CRX. Name changed from Crossair Ltd. d/b/a Swiss International Airlines Ltd.Name changed from Crossair Limited Company for European Regional Air Transport 31/03/2002,SWR,Swiss,Switzerland,LX,724
EL AL Israel Airlines Ltd.,114,,ELY,El Al,Israel,LY,114
Aero Mongolia,,,MNG,Aero Mongolia,Mongolia,M0,
MHS Aviation GmbH,,,MHV,Snowcap,Germany,M2,
"Sunrise Airlines, Inc. d/b/a Millon Express",,,MXS,Millon Express,United States of America,M2,
ABSA - Aerolinhas Brasileiras S.A. d/b/a LATAM Cargo Brasil,549,Name changed to ABSA - Aerolinhas Brasileiras S.A. d/b/a LATAM Cargo Brasil. ICAO callsign changed from TurismoPurchased by LAN Chile,LTG,Tamcargo,Brazil,M3,
Mistral Air S.r.l.,,IATA Designator changed from 7MICAO callsign changed from Aiemerci,MSA,Mistral Wings,Italy,M4,
Kenmore Air,,,,,United States of America,M5,763
"Amerijet International, Inc.",810,,AJT,Amerijet,United States of America,M6,
"Aerotransportes Mas de Carga, S.A. de C.V. d/b/a LATAM Cargo Mexico",865,"Name changed from Aerotransportes Mas de Carga, S.A. de C.V. IATA designator changed from MYDesignator MY reinstated by IATA",MAA,MAS Carga,Mexico,M7,
"Magnum Air, Inc. d/b/a Skyjet",,Founded in 2005. Commenced operations on 14 December 2012.,MSJ,Magnum Air,Philippines,M8,
"Motor-Sich, JSC",011,,MSI,Motor Sich,Ukraine,M9,011
MNG Airlines,716,Name changed to MNG Airlines CargoDesignator MB reinstated by IATA,MNB,Black Sea,Turkey,MB,
Air Mobility Command (AMC),,,RCH,Reach,United States of America,MC,
Air Madagascar,258,ICAO callsign changed from Madair,MDG,Air Madagascar,Madagascar,MD,258
Middle East Airlines - AirLiban,076,,MEA,Cedar Jet,Lebanon,ME,076
Xiamen Airlines,731,IATA designator changed from MF,CXA,Xiamen Air,China,MF,731
Eznis Airways LLC,116,Planned to start operations May 2018.,EZA,,Mongolia,MG,116
"Miami Air Lease, Inc.",424,,MGD,Miami Air,United States of America,MG,
Malaysia Airlines Berhad d/b/a Malaysia Airlines,232,Name changed from Malaysia Airlines System Berhad.Name changed from Malaysian Airlines Berhad (MAL),MAS,Malaysian,Malaysia,MH,232
SilkAir (S) Pte. Ltd.,629,,SLK,Silkair,Singapore,MI,629
"MyWay Airlines Co., Ltd.",,Commenced operations on 31 March 2018.,MYW,My Sky,Georgia,MJ,
"M  N Equipment, LLC d/b/a M  N Aviation",,,JNH,Jonah,United States of America,MJ,
Air Mauritius,239,,MAU,Airmauritius,Mauritius,MK,239
Peach Aviation Limited,,,APJ,Air Peach,Japan,MM,
Malta Air Travel Ltd d/b/a Malta MedAir,,,MMO,Malit,Malta,MM,
Comair Ltd.,161,Name changed from Commercial Airways (Pty.) Ltd.,CAW,Commercial,South Africa,MN,161
Calm Air International Ltd.,622,Canadian Partner,CAV,Calm Air,Canada,MO,622
Cosmos Aviation Services (Private) Ltd.,,,CMK,Comos Lanka,Sri Lanka,MO,
Martinair Holland N.V.,129,Name changed from Martin's Luchtvervoermaatschappij (Martin's Aircharter Company M.A.C.) N.V,MPH,Martinair,Netherlands,MP,129
"Envoy Air, Inc.",093,"Name changed from American Eagle Airlines, Inc. d/b/a American Eagle, Inc. ICAO designator changed from EGF. ICAO Callsign changed from Eagle Flight.Designator MQ reinstated by IATA",ENY,Envoy,United States of America,MQ,093
Hunnu Air - Wings of Mongolia,861,IATA designator changed from MR*.Name changed from Mongolian Airlines Group,MML,Trans Mongolia,Mongolia,MR,861
Egyptair,077,Name changed from United Arab Airlines (UAA)ICAO designator changed form EGY,MSR,Egyptair,Egypt,MS,077
Thomas Cook Airlines Limited of Manchester,727,ICAO callsign changed from Kestral w.e.f. 01 November 2018 previously changed from Topjet.Name changed from JMC Airlines Limited. ICAO designator changed from JMC. ICAO callsign changed from JayEmmSee,TCX,Thomas Cook,United Kingdom,MT,727
China Eastern Airlines,781,Formerly CAAC Shanghai region,CES,China Eastern,China,MU,781
Air Mediterranean S.A.,,Commenced operations on 01 November 2017. Suspended all operations on 18 January 2018. Re-started operations in February 2018 operating charter flights only.,MAR,Hellasmed,Greece,MV,
Mokulele Airlines LLC,415,ICAO designator changed from MUL. ICAO callsign changed from Mokulele.,MHO,Mahalo,United States of America,MW,415
Maswings Sdn Bhd,,Designator 7B recalled by IATA. Now using Malaysia Airlines IATA Code MH.,MWG,Maswings,Malaysia,MY,
"Amakusa Airlines Co., Ltd.",,,AHX,Amakusa Air,Japan,MZ,
"Jet Charter, Inc.",830,,JCT,Jet Charter,United States of America,N2,
"Aerolineas MAS, S.A.",,,MAF,Airmas,Dominican Republic,N3,877
"LLC ""Nord Wind""",,IATA Designator changed from N4*.,NWS,Nordland,Russian Federation,N4,
Les Investissements Nolinor Inc. t/a Nolinor Aviation,,Founded in 1992.,NRL,Nolinor,Canada,N5,
Mediterranean Aviation Company Ltd. d/b/a Medavia Ops,,,MDM,Medavia,Malta,N5,
Nomad Aviation (Pty) Ltd t/a Bay Air Aviation,,Operates flights obo flyafrica.com,NMD,Nomad Air,Namibia,N6,
Nordic Regional Airlines Oy,,Formerly Flybe Finland Oy.,FCM,Finncomm,Finland,N7,
My Jet Xpress Airlines Sdn.Bhd. dba My Jet Xpress,264,Name changed from Neptune Air Sdn Bhd.,NEP,Warisan,Malaysia,N7,
"National Air Cargo Group, Inc. d/b/a National Airlines",416,"Name changed from Murray Air, Inc. ICAO designator changed from MUA.Name changed from Murray Aviation, Inc.",NCR,National Cargo,United States of America,N8,
Shree Airlines Pvt. Ltd.,,Founded in 1999.,SHA,Shree-Air,Nepal,N9,
Nova Airlines AB,326,IATA designator changed to 1I,NVR,Navigator,Sweden,N9,
Nesma Airlines Company Ltd.,,Commenced operations on on 18 July 2010.,NMA,Nesma,Egypt,NA,646
Skypower Express Airways Nigeria Ltd.,,,,,Nigeria,NB,
"Northern Air Cargo, Inc.",345,ICAO callsign changed from Northern Air Cargo,NAC,Yukon,United States of America,NC,
FMI Air Ltd.,,ICAO callsign changed from First Myanmar.,FMI,Gecko,Myanmar,ND,
Nesma Airlines,,,NSS,Nesma Connect,Saudi Arabia,NE,477
Air Vanuatu (Operations) Limited,218,,AVN,Air Van,Vanuatu,NF,218
Al Naser Wings Airlines,,,NAD,Naser Wings,Iraq,NG,
All Nippon Airways Co. Ltd.,205,,ANA,All Nippon,Japan,NH,205
Portugalia - Companhia Portuguesa de Transportes Aereos SA,685,,PGA,Portugalia,Portugal,NI,685
Niger Airways,,,,,Niger,NJ,
"Spirit Airlines, Inc.",487,,NKS,Spirit Wings,United States of America,NK,487
Shaheen Air International Limited,740,Established in 1984. Commenced operations in December 1993.,SAI,Shaheen Air,Pakistan,NL,740
The Mount Cook Airline Ltd.,445,Name changed from The Mount Cook Group Ltd.,NZM,Mountcook,New Zealand,NM,445
China Travel Tours Transportation Services Hong Kong Ltd. (CTTTS),,Bus Service,,,China,NN,
Niger Air Cargo,591,,NAB,Niger Cargo,Niger,NO,
Neos S.p.A.,703,,NOS,Moonflower,Italy,NO,703
Nile Air,,ICAO callsign chnaged from Hapi Air,NIA,Nile Bird,Egypt,NP,325
Air Japan Company Ltd.,,"Name changed from World Air Network Co., Ltd. ICAO designator changed from WACICAO callsign changed from Wing Ace",AJX,Air Japan,Japan,NQ,
Al-Naser Airlines,,IATA designator changed from NR.Designator 6N recalled by IATA,MHK,Al-Naser,Iraq,NR,
"Hebei Airlines Co., Ltd.",836,Name changed from Northeast Airlines Co. Ltd.,HBH,Hebei Air,China,NS,836
"Binter Canarias, S.A.",,,IBB,,Spain,NT,474
Japan Transocean Air Co. Ltd.,353,,JTA,Jai Ocean,Japan,NU,353
Karun Airlines,,Name changed from Iranian Naft Airlines in September 2017.,KRU,Karun,Iran,NV,
Air Macau Company Limited,675,,AMU,Air Macau,Macau,NX,675
Flugfelag Islands ehf dba Air Iceland,882,,FXI,Faxi,Iceland,NY,882
Air New Zealand Limited,086,IATA designator changed from TE(Was orginally only Domestic Division),ANZ,New Zealand,New Zealand,NZ,086
Shun Fung Airlines Company Limited,921,,CSS,Shun Feng,China,O3,
"Orange Air, LLC",,,ORN,Orange Jet,United States of America,O3,
orange2fly Airlines S.A.,919,,OTF,,Greece,O4,919
Comores Aviation International,,,KMZ,,Comoros,O5,174
Oceanair Linhas Aereas Ltda t/a Avianca Brazil,247,Name changed from Oceanair Linhas Aereas Ltda,ONE,Oceanair,Brazil,O6,247
SNCF-C6 SASU,,Bus Service,,,France,O8,
Nova Airlines,948,,NOV,Novanile,Sudan,O9,948
Olympic Air,050,,OAL,Olympic,Greece,OA,050
Boliviana de Aviacion (BoA),930,Founded on 24 October 2007,BOV,Boliviana,Bolivia,OB,930
Oriental Air Bridge Co. Ltd.,,IATA designator changed from O3. ICAO Designator changed to NGK.,ORC,Oriental Bridge,Japan,OC,
Malindo Airways Sdn Bhd (Malindo Air),,ICAO callsign changed from Malindo Express.,MXD,Malindo,Malaysia,OD,816
LaudaMotion GmbH,,Prevoiusly Niki. Sold to LaudaMotion on 23 January 2018. Planned startup Summer 2018.,LDM,Expert,Austria,OE,
Asia Overnight Express Corporation,918,,AOT,Asia Overnight,Philippines,OE,
Overland Airways Limited,,Commenced operations on 26 Nov 2003.IATA designator changed from OJ.,OLA,Overland,Nigeria,OF,
Air Freight NZ Ltd.,,,TFR,Toll Freight,New Zealand,OG,
Ghodawat Enterprises Pvt. Ltd. d/b/a Ghodawat Aviation,,,SDG,Hi Star,India,OG,
Jetstream International Airlines,,Name from PSA Airlines. Changed name from Jetstream International Airlines w.e.f. 01/11/1995US Airways Express Carrier,JIA,Blue Streak,United States of America,OH,320
Hinterland Aviation Pty Ltd,,,HND,Hinterland,Australia,OI,
Fly Jamaica Airways Limited,,"Founded in 2012, Commenced operations on 14 Feb 2013.",FJM,Greenheart,Jamaica,OJ,
"Czech Airlines A.S. , CSA",064,,CSA,CSA-Lines,Czech Republic,OK,064
Samoa Airways,162,Name changed from Polynesian Limited in 2017.,PAO,Polynesian,Samoa,OL,162
MIAT - Mongolian Airlines,289,,MGL,Mongol Air,Mongolia,OM,289
Nauru Air Corporation t/a Nauru Airlines,123,Name changed from Nauru Air Corporation t/a Our Airline w.e.f. 01 August 2014.,RON,,Nauru,ON,123
SkyWest Airlines,302,Name changed from Sky West Airlines,SKW,Skywest,United States of America,OO,302
DAC International Airlines Ltd.,,,DIG,Dac Air,Ghana,OP,213
"Chong Qing Airlines Co., Ltd",,Founded on 16 June 2007. Commenced operations on 08 July 2007.,CQN,Chong Qing,China,OQ,
TUI Airlines Nederlands B.V.,,ICAO callsign changed from Arkefly.,TFL,Orange,Netherlands,OR,178
Austrian Airlines AG d/b/a/ Austrian,257,"Name changed from Austrian Airlines, Osterreichische Luftverkehrs AG d/b/a/ Austrian",AUA,Austrian,Austria,OS,257
Tchadia Airlines,,Founded in 2018. Commenced operations on 01 October 2018.2 x DHC-8-Q400 transferred from Ethiopian Airlines.,,,Chad,OT,
Croatia Airlines,831,,CTN,Croatia,Croatia,OU,831
SalamAir,,,OMS,Mazoon,Oman,OV,
Skyward Express Ltd.,,,SEW,Skyward Express,Kenya,OW,
Orient Thai Airlines Company Limited,578,IATA designator changed from OX*Designator OX* reinstated by IATA,OEA,Orient Thai,Thailand,OX,578
Andes Lineas Aereas S.A.,,Designator OY reinstated by IATA,ANS,Aeroandes,Argentina,OY,650
"Omni Air International, Inc. d/b/a Omni Air Express",,IATA Designator changed from 1I,OAE,Omni-Express,United States of America,OY,
"Asiana Airlines, Inc.",988,,AAR,Asiana,"Korea, Republic of",OZ,988
Proflight Commuter Services Limited,,,PFZ,Proflight-Zambia,Zambia,P0,659
Airkenya Express Ltd.,853,IATA Designator changed from QP. Designator reinstated by P2 IATAName changed from Airkenya Aviation Ltd. d/b/a Regional Air. Formerly Airkenya Aviation Ltd.,XAK,,Kenya,P2,853
Cargologicair Ltd.,560,Part of Volga-Dnepr Group.,CLU,Firebird,United Kingdom,P3,
Air Peace Limited,,,APK,Peace Bird,Nigeria,P4,710
"Aerolineas Sosa, S.A.",,Desginator P4* reinstated byIATA,NSO,Sosa,Honduras,P4,
"AeroRepública, S.A. t/a Copa Airlines Colombia",845,"Name changed from Aero Republica, S.A.Designator P5 reinstated by IATA",RPB,Aerorepublica,Colombia,P5,845
9736140 Canada Inc t/a Pascan,,Name changed from Pascan Aviation Inc.,PSC,Pascan,Canada,P6,
SprintAir SA,,IATA designator chanegd from HS*Founded in 2003.,SRN,Sprintair,Poland,P8,
"Pak West Airlines, Inc. d/b/a Sierra West Airlines",,,PKW,Platinum West,United States of America,P8,
Peruvian Air Lines S.A.,,,PVN,Peruvian,Peru,P9,602
Aero Micronesia Inc d/b/a Asia Pacific Airlines,046,,MGE,Magellan,Guam,P9,
M/S Airblue (PVT) Ltd,084,,ABQ,Pakblue,Pakistan,PA,084
PAL Airlines Ltd.,967,Name changed from Provincial Airlines.  w.e.f. 01 June 2016.,PVL,Provincial,Canada,PB,967
Pegasus Hava Tasimaciligi A.S.,624,IATA designator changed from H9*IATA designator previously changed from 1I,PGT,Sunturk,Turkey,PC,624
Envirotainer AB,,Non-Airline Unit Load Devices (ULD) Companies,,,Sweden,PC,
Porter Airlines Inc.,,,POE,,Canada,PD,
Altenrhein Luftfahrt GmbH t/a Peoples Viennaline,,,PEV,Peoples,Switzerland,PE,
Pacific Air Express Australia (Pty) Ltd.,934,,PCF,Pacific,Australia,PE,
Bangkok Airways Co. Ltd.,829,,BKP,Bangkok Air,Thailand,PG,829
Transavia Denmark ApS,,,TDK,Green,Denmark,PH,
